name,image
Alberich's Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/alberich-set-elden-ring-wiki-guide.png
Albinauric Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/albinauric_set.png
All-Knowing Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/allkknowing.png
Aristocrat Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/aristocrat_set.png
Astrologer Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/astrologer-set-elden-ring-wiki-guide.png
Azur's Glintstone Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/azurs_full_set_2.png
Bandit Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/bandit-set-elden-ring-wiki-guide.png
Banished Knight Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/banished_knight_set.png
Battlemage Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/battlemage_set.png
Beast Champion Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/beast-champion-set-elden-ring-wiki-guide.png
Black Knife Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knife_armor_set-elden-ring-wiki-guide.png
Blackflame Monk Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blackflame_monk_set.png
Blaidd's Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blaidd'sset.png
Bloodhound Knight Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodhound-set-elden-ring-wiki-guide.png
Bloodsoaked Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodsoaked_set.png
Blue Cloth Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blue-cloth-set-elden-ring-wiki-guide.png
Blue Festive Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blue_festive_set.png
Blue Silver Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/blue_silver_set.png
Briar Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/briar_set.png
Bull-Goat Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/bullgate-set-elden-ring-wiki-guide.png
Carian Knight Set,https://eldenring.wiki.fextralife.com/file/Elden-Ring/carian-knight-set-elden-ring-wiki-200px.png
