name,image
Prelate's Charge,https://eldenring.fanapis.com/images/ashes/17f699db6b0l0hzn9xsxxwtgyfky3.png
Barrage,https://eldenring.fanapis.com/images/ashes/17f69632311l0hzna19sl4rzmmvk4.png
Barbaric Roar,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_barbaric_roar_elden_ring_wiki_guide_200px.png
Blood Blade,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_blood_blade_elden_ring_wiki_guide_200px.png
Assassin's Gambit,https://eldenring.fanapis.com/images/ashes/17f6959211al0hzna508db0yt3kk1k.png
Black Flame Tornado,https://eldenring.fanapis.com/images/ashes/17f693ca8bfl0hzna7sr5dyvlqs7s.png
Barricade Shield,https://eldenring.fanapis.com/images/ashes/17f6930b2bbl0hznaexvxdlscgaiq.png
Beast's Roar,https://eldenring.fanapis.com/images/ashes/17f694892c5l0hznah6w4ltudpzuj.png
Bloodhound's Step,https://eldenring.fanapis.com/images/ashes/17f69558c5el0hznater26nv2f3sgh.png
Braggart's Roar,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_braggart's_roar_elden_ring_wiki_guide_200px.png
Bloody Slash,https://eldenring.fanapis.com/images/ashes/17f69748b38l0hznb7t11snt2v6e5to.png
Carian Greatsword,https://eldenring.fanapis.com/images/ashes/17f69972a78l0hznb8uihn419g6mja.png
Carian Grandeur,https://eldenring.fanapis.com/images/ashes/17f6920fe70l0hznbb7s5p9luh70kn.png
Carian Retaliation,https://eldenring.fanapis.com/images/ashes/17f691ce52el0hznbb8jlg0tc6t0dm.png
Blood Tax,https://eldenring.fanapis.com/images/ashes/17f69877351l0hznbcbt6uafsjw6at.png
Charge Forth,https://eldenring.fanapis.com/images/ashes/17f6997d2f3l0hznbknjad2nj3vw6.png
Chilling Mist,https://eldenring.fanapis.com/images/ashes/17f69632b47l0hznbo20nfz1jomqp0m.png
Cragblade,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_cragblade_elden_ring_wiki_guide_200px.png
Double Slash,https://eldenring.fanapis.com/images/ashes/17f69718726l0hznc4a52929rfg1aw.png
Determination,https://eldenring.fanapis.com/images/ashes/17f69473c75l0hznc4u7wv3mae45bn.png
Earthshaker,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_earthshaker_elden_ring_wiki_guide_200px.png
Enchanted Shot,https://eldenring.fanapis.com/images/ashes/17f6920c27el0hzncahvte5m3xhhws.png
Endure,https://eldenring.fanapis.com/images/ashes/17f69a074b6l0hzncbpisvienjm7.png
Eruption,https://eldenring.fanapis.com/images/ashes/17f69a3b29al0hzncgekzv3o1qoaml.png
Flame Of The Redmanes,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_flame_of_the_redmanes_elden_ring_wiki_guide_200px.png
Flaming Strike,https://eldenring.fanapis.com/images/ashes/17f69717cc3l0hzncvopzfk4mhxexm.png
Golden Land,https://eldenring.fanapis.com/images/ashes/17f696839ebl0hznd4efk9q3sfn90t.png
Glintblade Phalanx,https://eldenring.fanapis.com/images/ashes/17f69124253l0hznd58kalvsnumdfs.png
Glintstone Pebble,https://eldenring.fanapis.com/images/ashes/17f69318912l0hzndcxhadx37qie0d.png
Giant Hunt,https://eldenring.fanapis.com/images/ashes/17f69350c54l0hzndgv6rnmsmeuovl.png
Golden Parry,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_golden_parry_elden_ring_wiki_guide_200px.png
Golden Slam,https://eldenring.fanapis.com/images/ashes/17f697fa0abl0hzndk8ckmkt1uwa8c.png
Golden Vow,https://eldenring.fanapis.com/images/ashes/17f69351ab5l0hzndrisc8jnkt6cio.png
Gravitas,https://eldenring.fanapis.com/images/ashes/17f691ddaael0hzndtkuqlxj0gi37d.png
Ground Slam,https://eldenring.fanapis.com/images/ashes/17f694e769dl0hzndwlq2qilmdrv3j.png
Hoarah Loux's Earthshaker,https://eldenring.fanapis.com/images/ashes/17f693bc341l0hzndy1cxubyy4g0bq.png
Holy Ground,https://eldenring.fanapis.com/images/ashes/17f698e1b7fl0hznea0kg0jfvuo96.png
Hoarfrost Stomp,https://eldenring.fanapis.com/images/ashes/17f692fc3aal0hzneh25vt285rpane.png
Ice Spear,https://eldenring.fanapis.com/images/ashes/17f69609053l0hzneinqfv4xxlqvhj.png
Impaling Thrust,https://eldenring.fanapis.com/images/ashes/17f69a64ff1l0hzneows1ewhajkkgh.png
Kick,https://eldenring.fanapis.com/images/ashes/17f69700932l0hznetfa5h21htw70m.png
Lightning Ram,https://eldenring.fanapis.com/images/ashes/17f69a62d88l0hzneyzvq5fyjnottm.png
Lightning Slash,https://eldenring.fanapis.com/images/ashes/17f692df771l0hznf03p274erwk98h.png
Lifesteal Fist,https://eldenring.fanapis.com/images/ashes/17f696bfa3bl0hznf6k0etmzqb06tl9.png
Lion's Claw,https://eldenring.fanapis.com/images/ashes/17f69a31a8al0hznf908v1nxqoxy0e.png
Loretta's Slash,https://eldenring.fanapis.com/images/ashes/17f69a32673l0hznfbappm2n51jcv.png
Mighty Shot,https://eldenring.fanapis.com/images/ashes/17f69325755l0hznfv4s2ciqdltjtq.png
No Skill,https://eldenring.fanapis.com/images/ashes/17f697ede6el0hzng0czebz0gl42f.png
Piercing Fang,https://eldenring.fanapis.com/images/ashes/17f69a087c2l0hzng49rzvczvag1p.png
Parry,https://eldenring.fanapis.com/images/ashes/17f6992b87dl0hzng4xdj3kj5y9j56.png
Poisonous Mist,https://eldenring.fanapis.com/images/ashes/17f69449189l0hzng7hu2ig878ohic.png
Prayerful Strike,https://eldenring.fanapis.com/images/ashes/17f697b4d33l0hzng9g0bop6lam24gp.png
Phantom Slash,https://eldenring.fanapis.com/images/ashes/17f6932a2d8l0hzngb251bqvfmqy2.png
Poison Moth Flight,https://eldenring.fanapis.com/images/ashes/17f69742e0fl0hzngchtcvdl4bok5h.png
Quickstep,https://eldenring.fanapis.com/images/ashes/17f692c7232l0hzngn8rlhloj6d81g.png
Raptor Of The Mists,https://eldenring.fanapis.com/images/ashes/17f69295181l0hznh0xinc6xftw9ba.png
Rain Of Arrows,https://eldenring.fanapis.com/images/ashes/17f693d5026l0hznh18sc9evm9dy7.png
Repeating Thrust,https://eldenring.fanapis.com/images/ashes/17f694bd57dl0hznh3df4y3fmzs47.png
Royal Knight's Resolve,https://eldenring.fanapis.com/images/ashes/17f6932e7ccl0hznh41483furh3gwl.png
Sacred Ring Of Light,https://eldenring.fanapis.com/images/ashes/17f697367f8l0hznh85n59iw24a9cs.png
Sacred Blade,https://eldenring.fanapis.com/images/ashes/17f6926fae4l0hznh93w8eu63gg5a.png
Sacred Order,https://eldenring.fanapis.com/images/ashes/17f69494c37l0hznhbbgk88jc3uz5o.png
Seppuku,https://eldenring.fanapis.com/images/ashes/17f69835c8el0hznhgxliq172h0mb.png
Spinning Strikes,https://eldenring.fanapis.com/images/ashes/17f69368b21l0hzni1ub97dix6no65.png
Shield Crash,https://eldenring.fanapis.com/images/ashes/17f69a61881l0hzni3itnz1oxlbfz.png
Spinning Slash,https://eldenring.fanapis.com/images/ashes/17f6974700al0hzni4it3sh1bwmn4c.png
Spectral Lance,https://eldenring.fanapis.com/images/ashes/17f6926182el0hzni6gy8lu3ewebgc.png
Spinning Weapon,https://eldenring.fanapis.com/images/ashes/17f695e6f65l0hzni7f6oo2ih1csuu.png
Square Off,https://eldenring.fanapis.com/images/ashes/17f694d3942l0hzni7obhdodn7w1sf.png
Shield Bash,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_shield_bash_elden_ring_wiki_guide_200px.png
Stamp (sweep),https://eldenring.fanapis.com/images/ashes/17f69615628l0hznicfne35ba3ux6k.png
Stamp (upward Cut),https://eldenring.fanapis.com/images/ashes/17f699c60e7l0hzniu3lqezpf8qd1p.png
Stormcaller,https://eldenring.fanapis.com/images/ashes/17f6927105cl0hznj0z1zekjxe48uw.png
Storm Stomp,https://eldenring.fanapis.com/images/ashes/17f698b0169l0hznj20xql58va51p.png
Storm Wall,https://eldenring.fanapis.com/images/ashes/17f6958e40fl0hznj220cxyqrpbhbtl.png
Storm Assault,https://eldenring.fanapis.com/images/ashes/17f691bde6dl0hznj254ai88m30jy4.png
Thops's Barrier,https://eldenring.fanapis.com/images/ashes/17f6967f8b4l0hznj7rb45wsxsqe2k.png
Storm Blade,https://eldenring.fanapis.com/images/ashes/17f69649d89l0hznj9kugkc82bxbio.png
Sword Dance,https://eldenring.fanapis.com/images/ashes/17f6934bf80l0hznjbmtfxzfeycj3.png
Through And Through,https://eldenring.fanapis.com/images/ashes/17f694f3dc4l0hznjyrorixzbrhtyl.png
Thunderbolt,https://eldenring.fanapis.com/images/ashes/17f698ab1efl0hznjzezdci4en72vq.png
Unsheathe,https://eldenring.fanapis.com/images/ashes/17f699ec1a6l0hznk0i5ha4237hzfk.png
Vacuum Slice,https://eldenring.fanapis.com/images/ashes/17f697d7810l0hznk0s61fxkyp7oyb.png
Troll's Roar,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_troll's_roar_elden_ring_wiki_guide_200px.png
War Cry,https://eldenring.fanapis.com/images/ashes/17f692815c3l0hznk5jl6bndkytllg.png
Vow Of The Indomitable,https://eldenring.fanapis.com/images/ashes/17f694286dcl0hznk67par4y8fhfsr.png
Waves Of Darkness,https://eldenring.fanapis.com/images/ashes/17f6972b1a9l0hznk88u6e3xorhqag.png
White Shadow's Lure,https://eldenring.wiki.fextralife.com/file/Elden-Ring/ash_of_war_white_shadows_lure_elden_ring_wiki_guide_200px.png
Wild Strikes,https://eldenring.fanapis.com/images/ashes/17f694c6f7dl0hznknwj67qfg5tulf.png
