name,image
Hero,https://eldenring.fanapis.com/images/classes/17f69d71826l0i32gkm3ndn3kywxqj.png
Warrior,https://eldenring.fanapis.com/images/classes/17f69b2dd76l0i32gljr3f62pkzhjo.png
Astrologer,https://eldenring.fanapis.com/images/classes/17f69874f7bl0i32gmqaffmbfral8f.png
Bandit,https://eldenring.fanapis.com/images/classes/17f69d43011l0i32gojnjjs9mcg0k.png
Prisoner,https://eldenring.fanapis.com/images/classes/17f69d1f5f1l0i32grxfonsq64huhl.png
Vagabond,https://eldenring.fanapis.com/images/classes/17f69db959fl0i32hhpwdbjko0bj57.png
Confessor,https://eldenring.fanapis.com/images/classes/17f69774a83l0i32hjagb1nwcs1hne.png
Wretch,https://eldenring.fanapis.com/images/classes/17f69d4ac46l0i32hju3peo5nijzbj.png
Prophet,https://eldenring.fanapis.com/images/classes/17f69932fefl0i32hlnekz682ixnvc.png
Samurai,https://eldenring.fanapis.com/images/classes/17f699f7f4cl0i32huaj53vkdxeh7b.png
