name,image
Buckler,https://eldenring.fanapis.com/images/shields/17f69c62fe8l0i124u8fi4nc7dbfbf.png
Perfumer's Shield,https://eldenring.fanapis.com/images/shields/17f694b8615l0i124uyj41jnmpvitp.png
Man-serpent's Shield,https://eldenring.fanapis.com/images/shields/17f69b5141al0i124v8pxr1ks1ekij.png
Pillory Shield,https://eldenring.fanapis.com/images/shields/17f69a7085fl0i124y1772hsc2fore.png
Rickety Shield,https://eldenring.fanapis.com/images/shields/17f6976985el0i124znputjytfizsr.png
Beastman's Jar-shield,https://eldenring.fanapis.com/images/shields/17f693d58ael0i125pgfsn2zo4078i.png
Red Thorn Roundshield,https://eldenring.fanapis.com/images/shields/17f69c6b08dl0i125phehezloe6mgp.png
Riveted Wooden Shield,https://eldenring.fanapis.com/images/shields/17f6976f39fl0i125rvey7g31uyix.png
Scripture Wooden Shield,https://eldenring.fanapis.com/images/shields/17f69cbb4afl0i125s3vg05tmg3h9.png
Blue-white Wooden Shield,https://eldenring.fanapis.com/images/shields/17f69652424l0i125urgh9o09mhavm.png
Rift Shield,https://eldenring.fanapis.com/images/shields/17f69c01371l0i126fsrmmhmt78m7.png
Iron Roundshield,https://eldenring.fanapis.com/images/shields/17f69b10c2el0i126k1rlvenfih79r.png
Smoldering Shield,https://eldenring.fanapis.com/images/shields/17f69bd6428l0i126mo49q97n1both.png
Gilded Iron Shield,https://eldenring.fanapis.com/images/shields/17f698a4b7bl0i126nb4s0xsp2lnfw.png
Ice Crest Shield,https://eldenring.fanapis.com/images/shields/17f69b12e1bl0i126nysn2v09nsd3.png
Spiralhorn Shield,https://eldenring.fanapis.com/images/shields/17f6942deffl0i1271bdbp91snfovh.png
Marred Leather Shield,https://eldenring.fanapis.com/images/shields/17f6985902bl0i127b1nqhoj9b4nhl.png
Marred Wooden Shield,https://eldenring.fanapis.com/images/shields/17f696cb3bal0i127cn7tiavj7t1u.png
Coil Shield,https://eldenring.fanapis.com/images/shields/17f694927d7l0i127ng35ra4v5k4gn.png
