name,image
Briars Of Punishment,https://eldenring.fanapis.com/images/sorceries/17f69323f35l0hykrc6d1g3vajyc0n.png
Ancient Death Rancor,https://eldenring.fanapis.com/images/sorceries/17f697cbb96l0hykre66weonnfh81y.png
Briars Of Sin,https://eldenring.fanapis.com/images/sorceries/17f694c4b51l0hykrh5ekspavmcdh.png
Cannon Of Haima,https://eldenring.fanapis.com/images/sorceries/17f697763ffl0hykrjb9eqis858fj9.png
Ambush Shard,https://eldenring.fanapis.com/images/sorceries/17f69548207l0hykrjxtjpw45plt0o.png
Carian Phalanx,https://eldenring.fanapis.com/images/sorceries/17f69526092l0hykrkfqubdcrri5ri.png
Adula's Moonblade,https://eldenring.fanapis.com/images/sorceries/17f69501669l0hykrly1hkzqhsjkgf.png
Carian Greatsword,https://eldenring.fanapis.com/images/sorceries/17f698158cbl0hykro1lrfmqwblslj.png
Carian Piercer,https://eldenring.fanapis.com/images/sorceries/17f68f67eeal0hyksqja69pmxoh3yh.png
Carian Retaliation,https://eldenring.fanapis.com/images/sorceries/17f691dc847l0hyksqn4eqkjcj7jls.png
Carian Slicer,https://eldenring.fanapis.com/images/sorceries/17f69526839l0hykt29wlkzjaekmfp.png
Crystal Barrage,https://eldenring.fanapis.com/images/sorceries/17f697a3cebl0hykt5z1wd5xboo99x.png
Collapsing Stars,https://eldenring.fanapis.com/images/sorceries/17f6935c00al0hykt61d5dex7ibki.png
Comet Azur,https://eldenring.fanapis.com/images/sorceries/17f69383db4l0hykt8reipbquz8e6t.png
Crystal Burst,https://eldenring.fanapis.com/images/sorceries/17f69246033l0hykt9k2ifr73lab5s.png
Comet,https://eldenring.fanapis.com/images/sorceries/17f69173b9bl0hyktcuppfyv71lx3.png
Crystal Torrent,https://eldenring.fanapis.com/images/sorceries/17f68f97095l0hykuc91iv4akp5w4i.png
Crystal Release,https://eldenring.fanapis.com/images/sorceries/17f69346f84l0hykudkkqg6v1lwpk.png
Fia's Mist,https://eldenring.fanapis.com/images/sorceries/17f69402fafl0hykuks706v0mkdjbd.png
Eternal Darkness,https://eldenring.fanapis.com/images/sorceries/17f696b6eael0hykuqvnuxlujdx0r9.png
Frozen Armament,https://eldenring.fanapis.com/images/sorceries/17f698816aal0hykuwweto12afmr3.png
Founding Rain Of Stars,https://eldenring.fanapis.com/images/sorceries/17f69206fd7l0hykuyci822nhe618p.png
