name,image
Albinauric Ashes,https://eldenring.fanapis.com/images/spirits/17f698bf108l0i2rc1o532xfaytwzl.png
Ancestral Follower Ashes,https://eldenring.fanapis.com/images/spirits/17f69c5e05fl0i2rc2ni1ozwjqbtm.png
Archer Ashes,https://eldenring.fanapis.com/images/spirits/17f69857498l0i2rc3b57qyly3sydo.png
Avionette Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69962123l0i2rc3wxphqaa3codo.png
Banished Knight Oleg,https://eldenring.fanapis.com/images/spirits/17f69ac4bd0l0i2rc618tsrggfp3kh.png
Demi-human Ashes,https://eldenring.fanapis.com/images/spirits/17f69beb243l0i2rcptdnjy0wl2nxj.png
Fanged Imp Ashes,https://eldenring.fanapis.com/images/spirits/17f6984b305l0i2rcqq95m4bqpnb0t.png
Finger Maiden Therolina Puppet,https://eldenring.fanapis.com/images/spirits/17f69776c1dl0i2rcsqvsjrwpwre1p.png
Giant Rat Ashes,https://eldenring.fanapis.com/images/spirits/17f69f4e16bl0i2rctgy4eba6y1dq.png
Black Knife Tiche,https://eldenring.fanapis.com/images/spirits/17f6970a4e0l0i2rcxy5mhe8469uy7.png
Glintstone Sorcerer Ashes,https://eldenring.fanapis.com/images/spirits/17f69e84114l0i2rdbhn73i6cz73tm.png
Godrick Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69d490f4l0i2rdevcj5cyogvhec.png
Jarwight Puppet,https://eldenring.fanapis.com/images/spirits/17f69b77adbl0i2rdg8c9ycaad36y5.png
Kaiden Sellsword Ashes,https://eldenring.fanapis.com/images/spirits/17f69dc6c64l0i2rdkqrx6suz8t4k.png
Greatshield Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69f56843l0i2rdofm9tav197rzq.png
Lhutel The Headless,https://eldenring.fanapis.com/images/spirits/17f696cd1c3l0i2rdwfiwxjblacnad.png
Mad Pumpkin Head Ashes,https://eldenring.fanapis.com/images/spirits/17f698ab785l0i2re2gfjekyqwlm8j.png
Marionette Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69c24d62l0i2re6lrc9a3zopybr.png
Lone Wolf Ashes,https://eldenring.fanapis.com/images/spirits/17f69718dccl0i2rebxuwsfendz6e.png
Mimic Tear Ashes,https://eldenring.fanapis.com/images/spirits/17f69b5bc8dl0i2redg5p2ojmuksvu.png
Nightmaiden & Swordtress Puppets,https://eldenring.fanapis.com/images/spirits/17f69a3cc86l0i2rej3i1ddya1oiq9.png
Noble Sorcerer Ashes,https://eldenring.fanapis.com/images/spirits/17f69a2890el0i2renh0xht1xcqkfe.png
Nomad Ashes,https://eldenring.fanapis.com/images/spirits/17f69cba9a9l0i2reprf9ja1xfjpg.png
Omenkiller Rollo,https://eldenring.fanapis.com/images/spirits/17f69b8b45cl0i2revtxehcf0mla2c.png
Raya Lucaria Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69adba9el0i2rf0sm2c9jcpc2m.png
Page Ashes,https://eldenring.fanapis.com/images/spirits/17f69f00316l0i2rf7rq3l4lzz67b.png
Skeletal Militiaman Ashes,https://eldenring.fanapis.com/images/spirits/17f69a1eaddl0i2rfd40p6zlanz41sf.png
Spirit Jellyfish Ashes,https://eldenring.fanapis.com/images/spirits/17f697066c0l0i2rfjc7ykblsby5ox.png
Skeletal Bandit Ashes,https://eldenring.fanapis.com/images/spirits/17f69c7c032l0i2rfjqjylurrvvo1l.png
Stormhawk Deenh,https://eldenring.fanapis.com/images/spirits/17f69ecd388l0i2rfmox0cljjuuri.png
Twinsage Sorcerer Ashes,https://eldenring.fanapis.com/images/spirits/17f69bf3136l0i2rfs0407qepaxpho.png
Wandering Noble Ashes,https://eldenring.fanapis.com/images/spirits/17f69871c91l0i2rfwnjft8senytx.png
Rotten Stray Ashes,https://eldenring.fanapis.com/images/spirits/17f69732716l0i2rg3m2el64hvaq0m.png
Warhawk Ashes,https://eldenring.fanapis.com/images/spirits/17f69e64c4al0i2rg6ksmiwxmcgad.png
Latenna The Albinauric,https://eldenring.fanapis.com/images/spirits/17f6978cd87l0i2rgbupusbrmdqmhl.png
Winged Misbegotten Ashes,https://eldenring.fanapis.com/images/spirits/17f69ba4ffal0i2rgd5rdlvueh3v0q.png
Bloodhound Knight Floh,https://eldenring.fanapis.com/images/spirits/17f69c882dal0i2rgmqlt6en3tjlqm.png
Perfumer Tricia,https://eldenring.fanapis.com/images/spirits/17f69b927b9l0i2rgoqeiknjm21fba.png
Leyndell Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69d471b4l0i2rgvwohtrk19bpy.png
Miranda Sprout Ashes,https://eldenring.fanapis.com/images/spirits/17f69c6b7d1l0i2rgxuyvekun2pas.png
Vulgar Militia Ashes,https://eldenring.fanapis.com/images/spirits/17f6987842cl0i2rh0v17nw2hyrdslh.png
Land Squirt Ashes,https://eldenring.fanapis.com/images/spirits/17f69be5a2fl0i2rh6qmlpa2s0tpao.png
Kindred Of Rot Ashes,https://eldenring.fanapis.com/images/spirits/17f69a4c036l0i2rhgqvv4avdj310g.png
Ancient Dragon Knight Kristoff Ashes,https://eldenring.fanapis.com/images/spirits/17f69f84b01l0i2rhicosayr42hna.png
Azula Beastman Ashes,https://eldenring.fanapis.com/images/spirits/17f69c1b5ebl0i2rhm76pm5x3fs02f.png
Banished Knight Engvall Ashes,https://eldenring.fanapis.com/images/spirits/17f69bc440el0i2rho6izbci2my7fi.png
Battlemage Hugues Ashes,https://eldenring.fanapis.com/images/spirits/17f698e5162l0i2rhsg27fvvcchhh8.png
Blackflame Monk Amon Ashes,https://eldenring.fanapis.com/images/spirits/17f69de3343l0i2ri02qpv643ynu3.png
Clayman Ashes,https://eldenring.fanapis.com/images/spirits/17f69cb98c7l0i2ri0lmguxpofwvp.png
Crystalian Ashes,https://eldenring.fanapis.com/images/spirits/17f69c7c8b5l0i2ri969yh285riaw5.png
Depraved Perfumer Carmaan Ashes,https://eldenring.fanapis.com/images/spirits/17f69c971e5l0i2ricvamdlfi9hd4e.png
Cleanrot Knight Finlay Ashes,https://eldenring.fanapis.com/images/spirits/17f699877aal0i2rifkvslfle9b9ha.png
Dung Eater Puppet,https://eldenring.fanapis.com/images/spirits/17f699d3e8fl0i2rijbhqroryzjjtm.png
Fire Monk Ashes,https://eldenring.fanapis.com/images/spirits/17f69bd2cd3l0i2riv19z68urypaam.png
Dolores The Sleeping Arrow Puppet,https://eldenring.fanapis.com/images/spirits/17f69f7b11fl0i2rix87eagayvg5or.png
Haligtree Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69b464d7l0i2riyiocraa9z2guc.png
Man-serpent Ashes,https://eldenring.fanapis.com/images/spirits/17f69bda110l0i2rj2fpyaeegsbkdn.png
Mausoleum Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69ab4977l0i2rj50c2ffeu71unu.png
Oracle Envoy Ashes,https://eldenring.fanapis.com/images/spirits/17f69663925l0i2rjhexap3mp9otq.png
Putrid Corpse Ashes,https://eldenring.fanapis.com/images/spirits/17f69b254ffl0i2rjlmj6dtmbbwve.png
Radahn Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69ce3ebfl0i2rjo4bbtu73ia5tu.png
Redmane Knight Ogha,https://eldenring.fanapis.com/images/spirits/17f69eb8a3dl0i2rjqdm5kzaa1sd9k.png
Nepheli Loux Puppet,https://eldenring.fanapis.com/images/spirits/17f69abc3b9l0i2rjr6m5bbrtexdp.png
Soldjars Of Fortune Ashes,https://eldenring.fanapis.com/images/spirits/17f69ddaf0fl0i2rjyrykqzpcxfre.png
