name,image
Arrow's Sting Talisman,https://eldenring.fanapis.com/images/talismans/17f69f4f7a3l0i2soioqe3qysjxaw.png
Arsenal Charm,https://eldenring.fanapis.com/images/talismans/17f69659e33l0i2soj4uhpxf54ncje.png
Assassin's Cerulean Dagger,https://eldenring.fanapis.com/images/talismans/17f69d47ea5l0i2sokp40249x3da4f.png
Assassin's Crimson Dagger,https://eldenring.fanapis.com/images/talismans/17f697e45b3l0i2sol3u2c1y0ja11.png
Arrow's Reach Talisman,https://eldenring.fanapis.com/images/talismans/17f69dfff40l0i2soo71h481xlxzx8i.png
Axe Talisman,https://eldenring.fanapis.com/images/talismans/17f69c74ab1l0i2sp8u8ehul0cxenh.png
Boltdrake Talisman,https://eldenring.fanapis.com/images/talismans/17f697718ffl0i2sp9dowe0oahaam.png
Blue Dancer Charm,https://eldenring.fanapis.com/images/talismans/17f69811f79l0i2spa5kavq1z95u5i.png
Blessed Dew Talisman,https://eldenring.fanapis.com/images/talismans/17f69977289l0i2spaggtt1hdtxhk4.png
Bull-goat's Talisman,https://eldenring.fanapis.com/images/talismans/17f69659808l0i2sphoobyfsfvku2i.png
Cerulean Amber Medallion,https://eldenring.fanapis.com/images/talismans/17f69ed62a2l0i2sq0x8kqy5oe9mwn.png
Carian Filigreed Crest,https://eldenring.fanapis.com/images/talismans/17f69e97eaal0i2sq1lvpkd5cfq2q.png
Cerulean Seed Talisman,https://eldenring.fanapis.com/images/talismans/17f69dc1892l0i2sq1oh9i2x6tlarj.png
Clarifying Horn Charm,https://eldenring.fanapis.com/images/talismans/17f69942443l0i2sq2zl2bttnq08hp.png
Claw Talisman,https://eldenring.fanapis.com/images/talismans/17f69ba1d62l0i2sq92f4o8t2tlzp7.png
Crucible Knot Talisman,https://eldenring.fanapis.com/images/talismans/17f69d61012l0i2sqr9dmioj7dxngi.png
Crimson Amber Medallion,https://eldenring.fanapis.com/images/talismans/17f699e5a9dl0i2sqsk8mpabyj9mm4.png
Crucible Scale Talisman,https://eldenring.fanapis.com/images/talismans/17f6993bc1fl0i2sqt5xscysq45rce.png
Crepus's Vial,https://eldenring.fanapis.com/images/talismans/17f69b7aec7l0i2sqw1x7ajlmzguyi.png
Curved Sword Talisman,https://eldenring.fanapis.com/images/talismans/17f69ed2edfl0i2sqxgpadu0gprbn.png
Dragoncrest Shield Talisman,https://eldenring.fanapis.com/images/talismans/17f69d584c8l0i2srfem3zhei7qek.png
Flamedrake Talisman,https://eldenring.fanapis.com/images/talismans/17f6969e375l0i2srh8fpkcyede0z.png
