name,image
Hand Axe,https://eldenring.fanapis.com/images/weapons/17f69c35d2cl0i1oh7zuqfb3mdvsj.png
Jawbone Axe,https://eldenring.fanapis.com/images/weapons/17f69667224l0i1ohar280aeoxkl6z.png
Forked Hatchet,https://eldenring.fanapis.com/images/weapons/17f695c42f0l0i1ohb4cao0qxackpu.png
Iron Cleaver,https://eldenring.fanapis.com/images/weapons/17f69c6388cl0i1ohcb8denrbpuhqs.png
Battle Axe,https://eldenring.fanapis.com/images/weapons/17f699dbb9dl0i1ohfs2g1wqxwja74.png
Ripple Blade,https://eldenring.fanapis.com/images/weapons/17f694ef2f2l0i1ohsk3qoao9ds943.png
Icerind Hatchet,https://eldenring.fanapis.com/images/weapons/17f699235c3l0i1ohvv1u6vgzp6gxv.png
Sacrificial Axe,https://eldenring.fanapis.com/images/weapons/17f69b32182l0i1oi3uyg5fkssmhje.png
Celebrant's Cleaver,https://eldenring.fanapis.com/images/weapons/17f6980f4d4l0i1oi72p2skbsycy5.png
Rosus' Axe,https://eldenring.fanapis.com/images/weapons/17f6963aeael0i1oiez2moleac31tm.png
Highland Axe,https://eldenring.fanapis.com/images/weapons/17f69aeb629l0i1oifaza9fgo5b598.png
Warped Axe,https://eldenring.fanapis.com/images/weapons/17f6959fcafl0i1oinkyocipl7tiwk.png
Stormhawk Axe,https://eldenring.fanapis.com/images/weapons/17f69b8f9edl0i1oitj4z0mizqfmf7.png
Gargoyle's Black Axe,https://eldenring.fanapis.com/images/weapons/17f699ef109l0i1oj1cqtn6euxicod.png
Hand Ballista,https://eldenring.fanapis.com/images/weapons/17f698da62dl0i1oj2p6wyeh8vo0to.png
Jar Cannon,https://eldenring.fanapis.com/images/weapons/17f69dd8093l0i1oj6x6qo6tg76q8.png
Longbow,https://eldenring.fanapis.com/images/weapons/17f69d12746l0i1ojbzxzgz6gfjsi.png
Albinauric Bow,https://eldenring.fanapis.com/images/weapons/17f695afa44l0i1ojioyvh48q16qul.png
Erdtree Bow,https://eldenring.fanapis.com/images/weapons/17f6968148cl0i1ojrunt1o8v6y34f.png
Horn Bow,https://eldenring.fanapis.com/images/weapons/17f69dcccffl0i1ojske3hc4ernauj.png
Serpent Bow,https://eldenring.fanapis.com/images/weapons/17f694c87afl0i1ojvhpi9w9ttf21.png
Pulley Bow,https://eldenring.fanapis.com/images/weapons/17f694cf960l0i1ojybdeac0ffxf5.png
Black Bow,https://eldenring.fanapis.com/images/weapons/17f694bf0a0l0i1okt1ao6xjlqrmq9.png
Bloodhound Claws,https://eldenring.fanapis.com/images/weapons/17f69575d35l0i1oktqg9vbv6v8jk.png
Venomous Fang,https://eldenring.fanapis.com/images/weapons/17f695a80d4l0i1okukv5xwwhqcvn.png
Hookclaws,https://eldenring.fanapis.com/images/weapons/17f69bb71a6l0i1okvek92tqjqy5w.png
Raptor Talons,https://eldenring.fanapis.com/images/weapons/17f694a2cc3l0i1okx1gdd6e5ser2.png
Watchdog's Greatsword,https://eldenring.fanapis.com/images/weapons/17f69c91071l0i1olmq0iokptn3hftg.png
Greatsword,https://eldenring.fanapis.com/images/weapons/17f6974feb9l0i1olnp61dvex8ugut.png
Troll's Golden Sword,https://eldenring.fanapis.com/images/weapons/17f69d62fd0l0i1olqu110xlsqhiuo.png
Maliketh's Black Blade,https://eldenring.fanapis.com/images/weapons/17f6946481al0i1olr8v9h8hxdx439.png
Zweihander,https://eldenring.fanapis.com/images/weapons/17f69848f3fl0i1olspoavxf69m81b.png
Royal Greatsword,https://eldenring.fanapis.com/images/weapons/17f695e24bel0i1omb3kpapbx2zhn.png
Godslayer's Greatsword,https://eldenring.fanapis.com/images/weapons/17f69814033l0i1omfg9fbsxwonld.png
Grafted Blade Greatsword,https://eldenring.fanapis.com/images/weapons/17f69ba4b74l0i1omi90yu0wdq7oxu.png
Ruins Greatsword,https://eldenring.fanapis.com/images/weapons/17f69695544l0i1omj4kim8sh6j5xh.png
Starscourge Greatsword,https://eldenring.fanapis.com/images/weapons/17f69d917e2l0i1omllp8sfqfor6g.png
Troll Knight's Sword,https://eldenring.fanapis.com/images/weapons/17f694bf77bl0i1on5kwkodf1d6fkp.png
Watchdog's Staff,https://eldenring.fanapis.com/images/weapons/17f69573764l0i1ondtdlwail0224s.png
Envoy's Greathorn,https://eldenring.fanapis.com/images/weapons/17f69b35d86l0i1ongc5nz2ucwimp3.png
Great Club,https://eldenring.fanapis.com/images/weapons/17f697c039cl0i1onh4jupgan4exzn.png
Prelate's Inferno Crozier,https://eldenring.fanapis.com/images/weapons/17f69a7dcc1l0i1oniofe8yzb14ixf.png
Duelist Greataxe,https://eldenring.fanapis.com/images/weapons/17f69a33564l0i1ons3nh18t7o8nt.png
Axe Of Godfrey,https://eldenring.fanapis.com/images/weapons/17f698fbfe3l0i1onysor0mpgg5yes.png
Dragon Greatclaw,https://eldenring.fanapis.com/images/weapons/17f69469b4bl0i1oo41w96vla79ii.png
Fallingstar Beast Jaw,https://eldenring.fanapis.com/images/weapons/17f6955e72fl0i1oo4m9kmv2xl4xyk.png
Staff Of The Avatar,https://eldenring.fanapis.com/images/weapons/17f69dc1749l0i1ooc0npawnyrf3d.png
Ghiza's Wheel,https://eldenring.fanapis.com/images/weapons/17f696bf334l0i1oog74vy08h3bq4g.png
Giant-crusher,https://eldenring.fanapis.com/images/weapons/17f698d50ael0i1ooor7m3e3wm1ksn.png
Golem's Halberd,https://eldenring.fanapis.com/images/weapons/17f69bd8124l0i1oouetnbxq1rzht.png
Troll's Hammer,https://eldenring.fanapis.com/images/weapons/17f699e1bc7l0i1oov82brr35n1ie4.png
Rotten Staff,https://eldenring.fanapis.com/images/weapons/17f695f2cdal0i1oozpti2yx0wz51.png
Rotten Greataxe,https://eldenring.fanapis.com/images/weapons/17f698e7e0dl0i1op5tj0nigfcedar.png
Soldier's Crossbow,https://eldenring.fanapis.com/images/weapons/17f69a1d79cl0i1opcz0k9omitov0n.png
Light Crossbow,https://eldenring.fanapis.com/images/weapons/17f69832d19l0i1opiocf2s1b0z8f8.png
Heavy Crossbow,https://eldenring.fanapis.com/images/weapons/17f69b95f86l0i1opjf3ra8xpdsovo.png
Pulley Crossbow,https://eldenring.fanapis.com/images/weapons/17f69744d27l0i1opnrem0400k2gsd.png
Full Moon Crossbow,https://eldenring.fanapis.com/images/weapons/17f69ac9f84l0i1opqor2ybht92g9q.png
Onyx Lord's Greatsword,https://eldenring.fanapis.com/images/weapons/17f69d4ff4fl0i1oq3u3wuk37p9n8y.png
Crepus's Black-key Crossbow,https://eldenring.fanapis.com/images/weapons/17f697ea1a4l0i1oq4te6lr8su01zs.png
Arbalest,https://eldenring.fanapis.com/images/weapons/17f69d24aefl0i1oq9249e558exazo.png
Bloodhound's Fang,https://eldenring.fanapis.com/images/weapons/17f697d9a68l0i1oqeay5e8bb4oc3g.png
Dismounter,https://eldenring.fanapis.com/images/weapons/17f69c95aedl0i1oqkej3b4sanu0ho.png
Magma Wyrm's Scalesword,https://eldenring.fanapis.com/images/weapons/17f6959a5afl0i1oqpihevj06l1n6f.png
Omen Cleaver,https://eldenring.fanapis.com/images/weapons/17f699cd816l0i1oqxnpfv24k6jntj.png
Zamor Curved Sword,https://eldenring.fanapis.com/images/weapons/17f6951db06l0i1or16gi01imzlv6v.png
Monk's Flameblade,https://eldenring.fanapis.com/images/weapons/17f69d7bd32l0i1or3zgprsj3kycze.png
Beastman's Cleaver,https://eldenring.fanapis.com/images/weapons/17f695a31bbl0i1orafp8agcajnhoq.png
Morgott's Cursed Sword,https://eldenring.fanapis.com/images/weapons/17f695e77b1l0i1orcoyco0l9fpi6j.png
Falchion,https://eldenring.fanapis.com/images/weapons/17f69ccaa4al0i1orhsuhv0ll0uko.png
Shamshir,https://eldenring.fanapis.com/images/weapons/17f69cbbed5l0i1orz2seh3xldf6b.png
Beastman's Curved Sword,https://eldenring.fanapis.com/images/weapons/17f69d22df5l0i1os1vzj7jka683f.png
Shotel,https://eldenring.fanapis.com/images/weapons/17f69498ae3l0i1os4m19u5e478yu2.png
Magma Blade,https://eldenring.fanapis.com/images/weapons/17f69908917l0i1os577fp2a0c8n8w.png
Flowing Curved Sword,https://eldenring.fanapis.com/images/weapons/17f694e2077l0i1osqjan4fnttniyc.png
Wing Of Astel,https://eldenring.fanapis.com/images/weapons/17f695b60e8l0i1osrls9u8la9bek.png
Eclipse Shotel,https://eldenring.fanapis.com/images/weapons/17f695e8a95l0i1osvuh2s392bslgf.png
Serpent-god's Curved Sword,https://eldenring.fanapis.com/images/weapons/17f6977fc1al0i1oswu20i8xjh9liqj.png
Scavenger's Curved Sword,https://eldenring.fanapis.com/images/weapons/17f69d7cf23l0i1osx8dg6r5dybhck.png
Mantis Blade,https://eldenring.fanapis.com/images/weapons/17f69a28357l0i1otefec4u3qjtjve.png
Scimitar,https://eldenring.fanapis.com/images/weapons/17f695c221bl0i1oti2aqelikacuj6.png
Nox Flowing Sword,https://eldenring.fanapis.com/images/weapons/17f69913ab4l0i1otlpefqm0g08exp.png
Dagger,https://eldenring.fanapis.com/images/weapons/17f699693fbl0i1otqw0glcy3u6fp0k.png
Grossmesser,https://eldenring.fanapis.com/images/weapons/17f69ba85cal0i1ou17700c5cqef3i.png
Black Knife,https://eldenring.fanapis.com/images/weapons/17f69bb7d32l0i1ou85ft99zwecdel.png
Parrying Dagger,https://eldenring.fanapis.com/images/weapons/17f6959f1adl0i1ou9x8vs08p3u09g.png
Miséricorde,https://eldenring.fanapis.com/images/weapons/17f69aa066dl0i1ouek4e8nmlybotp.png
Reduvia,https://eldenring.fanapis.com/images/weapons/17f69d42419l0i1oujp0m1csaaqdanf.png
Crystal Knife,https://eldenring.fanapis.com/images/weapons/17f695c23a5l0i1ourjc45t3ot8y0r.png
